scheme,mukim,district,lat,lon,geo_level,matched
(P/L 2256) TMN MERU MAS/TMN MERU AMAN,KAPAR,Klang,,,none,
(P/L 4346)TMN TOK MUDA,KAPAR,Klang,3.1412055,101.341985,road,"Jalan Sagu 6D/KU14, Kapar, Klang City, Klang, Selangor, 42200, Malaysia"
1 DESA RESIDENCE,MUKIM KUALA LUMPUR,Kuala Lumpur,3.1055218,101.692142,scheme,"1 Desa Residence, Taman Desa, Kuala Lumpur, Malaysia"
1 HARMONIS,SETAPAK,Gombak,3.2343681,101.7158197,scheme,"1 Harmonis, Gombak, Selayang Municipal Council, Gombak, Selangor, Malaysia"
1 PETALING,MUKIM PETALING,Kuala Lumpur,3.0723451,101.6960623,scheme,"1, Jalan Sri Petaling 2, Zone F, Sri Petaling, Kuala Lumpur, 57000, Malaysia"
1 RAZAK MANSION,MUKIM KUALA LUMPUR,Kuala Lumpur,3.1078294,101.7034376,scheme,"1 Razak Mansion, Bandar Tun Razak, Seputeh, Kuala Lumpur, Malaysia"
1 SENTUL,MUKIM SETAPAK,Kuala Lumpur,3.1848238,101.7085127,scheme,"Lorong Chan Chin Mooi 1, Kampung Puah Seberang, Kuala Lumpur, 53200, Malaysia"
10 MON'T KIARA,MUKIM BATU,Kuala Lumpur,,,none,
10 MONT KIARA,MUKIM BATU,Kuala Lumpur,3.1700936,101.6560894,scheme,"10 Mont Kiara, 4, Mont Kiara, Kuala Lumpur, 50480, Malaysia"
10 RESIDENSI-SEKSYEN 17 SHAH ALAM,BANDAR SHAH ALAM,Petaling,,,none,
100 D KG. LOMBONG,KELANG,Klang,2.9702331,101.5602773,scheme,"Kampung Lombong, Shah Alam, Klang, Selangor, Malaysia"
100 RESIDENSI,MUKIM SETAPAK,Kuala Lumpur,3.1997518,101.7114333,scheme,"100 Residency, Setapak, Kampung Padang Balang, Kuala Lumpur, Malaysia"
1080 RESIDENCE,KAJANG,Hulu Langat,3.0199427,101.8130153,scheme,"1080 Residence, Kajang Municipal Council, Hulu Langat, Selangor, Malaysia"
11 MONT KIARA,MUKIM BATU,Kuala Lumpur,3.1689735,101.6551111,scheme,"11 Mont Kiara, Mont Kiara, Kuala Lumpur, 50480, Malaysia"
18 MADGE,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,3.1581948,101.7281188,scheme,"18 Madge Onsen Suite, Kampung Datuk Keramat, Kuala Lumpur, Malaysia"
1A STONOR APT (CONLAY COURT),KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,,,none,
2 HAMPSHIRE,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,3.1620683,101.7163062,scheme,"2 Hampshire, 10, Kampung Paya, Kampung Datuk Keramat, Kuala Lumpur, 50450, Malaysia"
20 TREE WEST,BANDAR HULU KELANG,Gombak,,,none,
20 TREE WEST,HULU KLANG,Gombak,3.1801164,101.7588674,road,"Jalan 1, Taman Sri Ukay, Bukit Antarabangsa, Ulu Kelang, Ampang Jaya Municipal Council, Gombak, Selangor, 54200, Malaysi"
20 TREES (P/L 500 DAN 501),BANDAR HULU KELANG,Gombak,3.2184878,101.7529729,scheme,"20 Trees, Ulu Kelang, Ampang Jaya Municipal Council, Gombak, Selangor, Malaysia"
20 TREES (P/L 500 DAN 501),HULU KLANG,Gombak,3.2184878,101.7529729,scheme,"20 Trees, Ulu Kelang, Ampang Jaya Municipal Council, Gombak, Selangor, Malaysia"
228 SELAYANG,BANDAR SELAYANG,Gombak,3.2546869,101.6539761,scheme,"Selayang.18 Residences, Bandar Baru Selayang, Batu Caves, Selayang Municipal Council, Gombak, Selangor, Malaysia"
28 GREEN VIEW RESIDENCE @ SG PELEK,SEPANG,Sepang,2.6501174,101.7146744,road,"Jalan Perdana 10/1, Taman Perdana, Sungai Pelek, Sepang, Selangor, 45950, Malaysia"
28 MONT KIARA,MUKIM BATU,Kuala Lumpur,3.1737554,101.6522389,scheme,"28 Mont'Kiara (MK28), Mont Kiara, Kuala Lumpur, Malaysia"
28 RESIDENCE @ TAMAN ORKID SALAK TINGGI,DENGKIL,Sepang,,,none,
280 PARK HOMES CONDOMINIUM-PUCHONG PRIMA,PETALING,Petaling,,,none,
288 RESIDENCES,MUKIM PETALING,Kuala Lumpur,3.0810836,101.6878498,scheme,"288 Residences, Kuchai Lama, Kuala Lumpur, Malaysia"
288 RESIDENCY,MUKIM SETAPAK,Kuala Lumpur,3.1969203,101.7075293,scheme,"288 Residency, Jalan Semarak Api, Diamond Square, Kampung Puah, Kampung Padang Balang, Kuala Lumpur, 53000, Malaysia"
"3 RESIDEN, MELAWATI",MUKIM SETAPAK,Kuala Lumpur,3.2215124,101.735654,scheme,"3 Residen Condominium, Jalan 6/4, Desa Melawati, Wangsa Maju, Kuala Lumpur, 53100, Malaysia"
"39,LINGKUNGAN U-THANT",MUKIM AMPANG,Kuala Lumpur,3.1479213,101.7339317,scheme,"39, Lingkungan U-Thant, Taman U-Thant, Ampang Hilir, Kampung Pandan, Kuala Lumpur, 55000, Malaysia"
6 CAPSQUARE,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,3.1539543,101.7000029,scheme,"6Capsquare Condominium, 6, Persiaran Capsquare, Kampung Paya, Kampung Cendana, Kuala Lumpur, 50100, Malaysia"
633 RESIDENCY,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,3.1333236,101.6929951,scheme,"633 Residency, Brickfields, Kuala Lumpur, Malaysia"
7 THREE SEVEN RESIDENCE,CHERAS,Hulu Langat,,,none,
8 PETALING,MUKIM PETALING,Kuala Lumpur,3.0737389,101.690921,scheme,"8, Jalan Sri Petaling 15, Zone F, Sri Petaling, Kuala Lumpur, 57000, Malaysia"
9 MADGE,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,3.1571537,101.7269964,scheme,"9 Madge, Kampung Datuk Keramat, Kuala Lumpur, Malaysia"
9INE SG PUTIH HILL CHERAS,HULU LANGAT,Hulu Langat,,,none,
A'MARINE SUNWAY SOUTH QUAY- PJS 9,BDR SUNWAY,Petaling,,,none,
ABADI INDAH APARTMENT,MUKIM KUALA LUMPUR,Kuala Lumpur,3.095701,101.6866912,scheme,"Apartment Abadi Indah, Kuchai Lama, Kuala Lumpur, Malaysia"
ABADI VILLA,MUKIM KUALA LUMPUR,Kuala Lumpur,3.0957795,101.6835234,scheme,"Abadi Villa Condominium, Kuchai Lama, Kuala Lumpur, Malaysia"
ABLELINK SQUARE,KELANG,Klang,,,none,
AC4,MUKIM PETALING,Kuala Lumpur,3.1434549,101.6977498,scheme,"Petaling Street, Bukit Bintang, Kuala Lumpur, 50000, Malaysia"
ACACIA SPRINGS,PEKAN KUANG,Gombak,,,none,
ADMIRAL PARK,CHERAS,Hulu Langat,3.040101,101.7925009,road,"Jalan SL 1/4, Bandar Mahkota Cheras, Kajang Municipal Council, Hulu Langat, Selangor, 43000, Malaysia"
AIRA RESIDENCE,MUKIM KUALA LUMPUR,Kuala Lumpur,3.1547853,101.6585518,scheme,"AIRA Residence, Damansara Heights, Kuala Lumpur, Malaysia"
"AKASIA APARTMENT, SEKSYEN 32",KELANG,Klang,,,none,
AKASIA APARTMENT-BDR SETIA ALAM,BUKIT RAJA,Petaling,,,none,
AKASIA-PUSAT BANDAR PUCHONG,PEKAN KINRARA,Petaling,,,none,
AL AMEEN RESIDENCE,DENGKIL,Sepang,,,none,
ALAM BUDIMAN,BUKIT RAJA,Petaling,3.1426249,101.4793776,scheme,"Taman Alam Budiman, Section U10, Shah Alam, Petaling, Selangor, Malaysia"
ALAM D16 RESIDENCY,BANDAR SHAH ALAM,Petaling,,,none,
ALAM IMPIAN,KELANG,Klang,3.02384,101.5117943,scheme,"Setia Alam Impian, Section 35, Shah Alam, Klang, Selangor, 40470, Malaysia"
ALAM MUTIARA,IJOK,Kuala Selangor,,,none,
ALAM PALMA HEIGHTS (P/LOT 2405),CHERAS,Hulu Langat,,,none,
"ALAM PERDANA, IJOK",IJOK,Kuala Selangor,,,none,
ALAM PURI 51,MUKIM BATU,Kuala Lumpur,3.2080215,101.6741637,scheme,"Alam Puri Condominium, Kampung Medan Wira Utama, Kuala Lumpur, 51200, Malaysia"
ALAM SARI BANGI,PEKAN KG SUNGAI TANGKAS,Hulu Langat,2.9185562,101.8084271,scheme,"Jalan Alam Sari, Serene Heights, Kampung Batu Tiga, Bangi Lama, Kajang Municipal Council, Hulu Langat, Selangor, 43600, "
ALAM SARI BANGI,SEMENYIH,Hulu Langat,2.9186717,101.8083433,scheme,"Jalan Alam Sari, Serene Heights, Kampung Batu Tiga, Bangi Lama, Kajang Municipal Council, Hulu Langat, Selangor, 43600, "
ALAM SENTOSA,DENGKIL,Sepang,2.9187726,101.7529783,scheme,"Alam Sentosa, Sepang, Selangor, Malaysia"
ALAM SURIA,IJOK,Kuala Selangor,3.235432,101.4070553,scheme,"Taman Alam Suria, Puncak Alam, Kuala Selangor, Selangor, 42300, Malaysia"
ALAM SURIA,JERAM,Kuala Selangor,3.235432,101.4070553,scheme,"Taman Alam Suria, Puncak Alam, Kuala Selangor, Selangor, 42300, Malaysia"
"ALAM SURIA, PUNCAK ALAM",IJOK,Kuala Selangor,3.235432,101.4070553,scheme,"Taman Alam Suria, Puncak Alam, Kuala Selangor, Selangor, 42300, Malaysia"
"ALAM SURIA, PUNCAK ALAM",JERAM,Kuala Selangor,3.235432,101.4070553,scheme,"Taman Alam Suria, Puncak Alam, Kuala Selangor, Selangor, 42300, Malaysia"
ALAM SUTERA,MUKIM PETALING,Kuala Lumpur,3.0526499,101.6627318,scheme,"Alam Sutera, Bukit Jalil, Kuala Lumpur, Malaysia"
ALIX RESIDENCE (RESIDENSI DUTAMAS),MUKIM BATU,Kuala Lumpur,,,none,
ALMASPURI,MUKIM BATU,Kuala Lumpur,3.169707,101.6520935,scheme,"Almaspuri, Mont Kiara, Kuala Lumpur, Malaysia"
ALMIRA 28 @ SUTERA DAMANSARA,PEKAN BARU SG BULUH,Petaling,,,none,
ALORA MEDITERRANEAN APARTMENT,BANDAR SHAH ALAM,Klang,3.0308206,101.5382834,scheme,"MEDITERRANEAN ALORA APARTMENT ii, Jalan Damai 25/60, Section 25, Taman Sri Muda, Shah Alam, Klang, Selangor, 40400, Mala"
"ALORA MEDITERRANEAN APARTMENT, SRI MUDA",BANDAR SHAH ALAM,Klang,3.0308206,101.5382834,scheme,"MEDITERRANEAN ALORA APARTMENT ii, Jalan Damai 25/60, Section 25, Taman Sri Muda, Shah Alam, Klang, Selangor, 40400, Mala"
ALPHA VILLA,MUKIM SETAPAK,Kuala Lumpur,3.2007911,101.7356838,scheme,"Alpha Villa Apartment, 12, Jalan 2/27A, Wangsa Maju, Kuala Lumpur, 53300, Malaysia"
ALTITUDE 236,MUKIM PETALING,Kuala Lumpur,3.0761085,101.7355434,scheme,"Altitude 236 Condominium, Bandar Tun Razak, Cheras, Kuala Lumpur, 56000, Malaysia"
ALUNAN BAYU- SEKSYEN 24 SHAH ALAM,BANDAR SHAH ALAM,Petaling,3.0393785,101.5209994,scheme,"Alunan Bayu, Pangsapuri PKNS Seksyen 24 Shah Alam, Section 24, Shah Alam, Petaling, Selangor, Malaysia"
AMADESA RESORT,MUKIM PETALING,Kuala Lumpur,3.0845023,101.7025481,scheme,"Amadesa Resort Condo, Jalan 2/125, Desa Petaling, Bandar Tun Razak, Salak South, Kuala Lumpur, 57100, Malaysia"
AMAN HEIGHTS-TMN BKT SERDANG SEK 5,PETALING,Petaling,3.0261013,101.6926025,scheme,"Aman Heights Condominium, Jalan Bersatu, Taman Bukit Serdang Seksyen 5, Bukit Serdang, Seri Kembangan, Subang Jaya City "
AMAN KIARA,MUKIM BATU,Kuala Lumpur,3.1659054,101.6475795,scheme,"Aman Kiara, Mont Kiara, Kuala Lumpur, Malaysia"
AMAN RIA RESIDENCE-PUCHONG,BDR SUNWAY,Petaling,,,none,
AMAN RIA RESIDENCE-PUCHONG,PETALING,Petaling,,,none,
AMAN SARI (SEK. 8 KINRARA),PEKAN KINRARA,Petaling,3.0561607,101.6336849,scheme,"Aman Sari, 18, Bukit Tandang, Puchong, Subang Jaya City Council, Petaling, Selangor, Malaysia"
AMAN SERENIA,DENGKIL,Sepang,2.8527831,101.7051097,scheme,"Serenia Aman, Serenia City, Kampung Ampar Tenang, Dengkil, Sepang, Selangor, 43900, Malaysia"
AMAN SURIA DAMANSARA,BDR SAUJANA,Petaling,3.1224561,101.5975543,scheme,"Aman Suria, PJU 1, Ara Damansara, Petaling Jaya, Petaling, Selangor, Malaysia"
AMAN SURIA DAMANSARA,PEKAN CHEMPAKA,Petaling,3.1224561,101.5975543,scheme,"Aman Suria, PJU 1, Ara Damansara, Petaling Jaya, Petaling, Selangor, Malaysia"
AMANDARI KONDO,MUKIM BATU,Kuala Lumpur,,,none,
AMANSIARA,RAWANG,Gombak,3.2731797,101.6486042,scheme,"Taman Amansiara, Selayang Municipal Council, Gombak, Selangor, 48000, Malaysia"
AMARIN KIARA,MUKIM BATU,Kuala Lumpur,3.1684091,101.6442433,scheme,"Amarin Kiara, Sri Hartamas, Kuala Lumpur, Malaysia"
AMARIN WICKHAM,MUKIM AMPANG,Kuala Lumpur,,,none,
AMAYA SAUJANA - U2 SUBANG AIRPORT,BDR SAUJANA,Petaling,,,none,
"AMAZING HEIGHTS APARTMENT, SG UDANG",KELANG,Klang,,,none,
"AMAZING HEIGHTS APARTMENT, SG. UDANG",KELANG,Klang,,,none,
AMBANG BOTANIC,BANDAR KELANG,Klang,2.989241,101.4561624,scheme,"Ambang Botanic 2, Bandar Botanic, Klang City, Klang, Selangor, 41200, Malaysia"
AMBANG BOTANIC,KELANG,Klang,2.989241,101.4561624,scheme,"Ambang Botanic 2, Bandar Botanic, Klang City, Klang, Selangor, 41200, Malaysia"
AMBANG SURIA,JERAM,Kuala Selangor,3.2423226,101.3975943,scheme,"Ambang Suria, Bandar Puncak Alam, Kuala Selangor, Selangor, 42300, Malaysia"
AMBER 1@BUKIT SENTOSA,BANDAR KEPONG,Gombak,,,none,
AMBER HILL,BANDAR HULU KELANG,Gombak,3.216637,101.7542312,scheme,"Amber Hill Melawati, Ulu Kelang, Ampang Jaya Municipal Council, Gombak, Selangor, Malaysia"
AMCORP SERVICED SUITES,BANDAR PETALING JAYA,Petaling,,,none,
AMEERA RESIDENCE-SS2 P.JAYA,BANDAR PETALING JAYA,Petaling,,,none,
AMEERA RESIDENCE-SS2 P.JAYA,PEKAN BARU SG BULUH,Petaling,,,none,
AMERIN RESIDENCE,PEKAN KAJANG,Hulu Langat,,,none,
AMPANG 971 CONDO,MUKIM AMPANG,Kuala Lumpur,,,none,
AMPANG JAYA,BANDAR HULU KELANG,Gombak,3.1276087,101.7538639,scheme,"Ampang Jaya Municipal Council, Hulu Langat, Selangor, 55300, Malaysia"
AMPANG JAYA,HULU KLANG,Gombak,3.1915128,101.7601012,scheme,"Malaysia Transformer Manufacturing Sdn Bhd, Jalan AU 3/1, Bukit Antarabangsa, Ulu Kelang, Ampang Jaya Municipal Council,"
AMPANG PRIMA CONDOMINIUM,BANDAR AMPANG,Hulu Langat,3.1441389,101.7655823,scheme,"Ampang Prima Condominium, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia"
AMPANG PUTRA RESIDENCY,BANDAR AMPANG,Hulu Langat,3.1507964,101.7510477,scheme,"Ampang Putra Residency, Kampung Pandan Dalam, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia"
AMPANG TUDOR COURT,HULU KLANG,Gombak,,,none,
AMPANG UTAMA,AMPANG,Hulu Langat,3.1538721,101.7539761,scheme,"Taman Ampang Utama, Kampung Pandan Dalam, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia"
AMPANG UTAMA,BANDAR AMPANG,Hulu Langat,3.1538721,101.7539761,scheme,"Taman Ampang Utama, Kampung Pandan Dalam, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia"
AMPANGPURI CONDOMINIUM,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,3.1625763,101.7382413,scheme,"Ampangpuri Condominium, Ampang Hilir, Kampung Datuk Keramat, Kuala Lumpur, Malaysia"
AMPERSAND,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,3.1515012,101.7187679,scheme,"Ampersand, Bukit Bintang, Kuala Lumpur, Malaysia"
AMVERTON GREENS @ BUKIT RIMAU,KELANG,Klang,,,none,
"AMVERTON GREENS, BUKIT RIMAU",KELANG,Klang,,,none,
AMVERTON HILLS SUNGAI BULOH,SUNGAI BULUH,Petaling,3.2113994,101.5299569,scheme,"Amverton Hills, Section U17, Sungai Buloh, Shah Alam, Petaling, Selangor, Malaysia"
