name,code,lines,operator,type,authority,opened,lat,lon,url,coord_source
Abdullah Hukum,KD01     KJ17,2   Tanjung Malim–Port Klang Line 5   Kelana Jaya Line,KTM Rapid Rail,Commuter rail LRT,Kuala Lumpur,1 September 1998  (LRT) 28 October 2018  (KTM Komuter),3.11861,101.67278,https://en.wikipedia.org/wiki/Abdullah_Hukum_station,wikipedia
Alam Megah,KJ35,5   Kelana Jaya Line,Rapid Rail,LRT,Shah Alam,30 June 2016,3.023361,101.572111,https://en.wikipedia.org/wiki/Alam_Megah_LRT_station,wikipedia
Alam Sutera,SP21,4   Sri Petaling Line,Rapid Rail,LRT,Subang Jaya,31 October 2015,3.054778,101.656444,https://en.wikipedia.org/wiki/Alam_Sutera_LRT_station,wikipedia
Ampang,AG18,3   Ampang Line,Rapid Rail,LRT,Ampang Jaya,16 December 1996,3.15028,101.76,https://en.wikipedia.org/wiki/Ampang_LRT_station,wikipedia
Ampang Park (LRT),KJ9,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,1 June 1999,3.15972,101.71861,https://en.wikipedia.org/wiki/Ampang_Park_LRT_station,wikipedia
Ampang Park (MRT),PY20,12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,16 March 2023,3.15972,101.71861,https://en.wikipedia.org/wiki/Ampang_Park_MRT_station,wikipedia
Angkasapuri,KD02,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Kuala Lumpur,14 August 1995,3.11306,101.67333,https://en.wikipedia.org/wiki/Angkasapuri_Komuter_station,wikipedia
Ara Damansara,KJ26,5   Kelana Jaya Line,Rapid Rail,LRT,Petaling Jaya,30 June 2016,3.108361,101.586472,https://en.wikipedia.org/wiki/Ara_Damansara_LRT_station,wikipedia
Asia Jaya,KJ21,5   Kelana Jaya Line,Rapid Rail,LRT,Petaling Jaya,1 September 1998,3.10417,101.63778,https://en.wikipedia.org/wiki/Asia_Jaya_LRT_station,wikipedia
Awan Besar,SP19,4   Sri Petaling Line,Rapid Rail,LRT,Kuala Lumpur,31 October 2015,3.0621,101.6706,https://en.wikipedia.org/wiki/Awan_Besar_LRT_station,wikipedia
Bandaraya,AG6     SP6,3   Ampang Line 4   Sri Petaling Line,Rapid Rail,LRT,Kuala Lumpur,16 December 1996,3.15556,101.69417,https://en.wikipedia.org/wiki/Bandaraya_LRT_station,wikipedia
Bandar Baru Klang,SA17,11   Shah Alam Line,Rapid Rail,LRT,Klang,29 June 2026,3.0626799,101.4659295,https://en.wikipedia.org/wiki/Bandar_Baru_Klang_LRT_station,osm
Bandar Bukit Tinggi,SA24,11   Shah Alam Line,Rapid Rail,LRT,Klang,29 June 2026,2.9933052,101.4459046,https://en.wikipedia.org/wiki/Bandar_Bukit_Tinggi_LRT_station,osm
Bandar Puteri,SP27,4   Sri Petaling Line,Rapid Rail,LRT,Subang Jaya,31 March 2016,3.017056,101.612833,https://en.wikipedia.org/wiki/Bandar_Puteri_LRT_station,wikipedia
Bandar Tasik Selatan,KB04     KT2     SP15,1   Batu Caves–Pulau Sebang Line 4   Sri Petaling Line 7   KLIA Transit,KTM Rapid Rail ERL,Airport rail link Commuter rail LRT,Kuala Lumpur,10 November 1995  (KTM Komuter) 11 July 1998  (LRT) 20 June 2002  (ERL),3.07611,101.71056,https://en.wikipedia.org/wiki/Bandar_Tasik_Selatan_station,wikipedia
Bandar Tun Hussein Onn,KG29,9   Kajang Line,Rapid Rail,MRT,Kajang,17 July 2017,3.20639,101.58028,https://en.wikipedia.org/wiki/Bandar_Tun_Hussein_Onn_MRT_station,wikipedia
Bandar Tun Razak,SP14,4   Sri Petaling Line,Rapid Rail,LRT,Kuala Lumpur,11 July 1998,3.08972,101.71222,https://en.wikipedia.org/wiki/Bandar_Tun_Razak_LRT_station,wikipedia
Bandar Utama,KG09     SA01,9   Kajang Line 11   Shah Alam Line,Rapid Rail,MRT LRT,Petaling Jaya,16 December 2016  (MRT) 29 June 2026 (LRT),3.1466444,101.6187472,https://en.wikipedia.org/wiki/Bandar_Utama_station,wikipedia
Bangi,KB09,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Kajang,1995,2.90389,101.78611,https://en.wikipedia.org/wiki/Bangi_Komuter_station,wikipedia
Bangsar,KJ16,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,1 September 1998,3.1567,101.7017,https://en.wikipedia.org/wiki/Bangsar_LRT_station,wikipedia
Bank Negara,KA03,1   Batu Caves–Pulau Sebang Line 2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Kuala Lumpur,14 August 1995,3.15444,101.69278,https://en.wikipedia.org/wiki/Bank_Negara_Komuter_station,wikipedia
Batang Benar,KB10,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Seremban,1995,2.83,101.82667,https://en.wikipedia.org/wiki/Batang_Benar_Komuter_station,wikipedia
Batang Kali,KA12,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Hulu Selangor,21 April 2007,3.46833,101.63806,https://en.wikipedia.org/wiki/Batang_Kali_Komuter_station,wikipedia
Batu 11 Cheras,KG30,9   Kajang Line,Rapid Rail,MRT,Kajang,17 July 2017,3.20639,101.58028,https://en.wikipedia.org/wiki/Batu_11_Cheras_MRT_station,wikipedia
Batu Caves,KC05,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Selayang,April 2010,3.23778,101.68111,https://en.wikipedia.org/wiki/Batu_Caves_Komuter_station,wikipedia
Batu Kentonmen,KC02,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Kuala Lumpur,April 2010,3.198083,101.681167,https://en.wikipedia.org/wiki/Batu_Kentonmen_Komuter_station,wikipedia
Batu Tiga,KD10,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Shah Alam,1995,3.07583,101.56,https://en.wikipedia.org/wiki/Batu_Tiga_Komuter_station,wikipedia
Bukit Badak,KD13,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Klang,1995,3.0362,101.47036,https://en.wikipedia.org/wiki/Bukit_Badak_Komuter_station,wikipedia
Bukit Bintang (Monorail),MR6,8   KL Monorail,Rapid Rail,Monorail,Kuala Lumpur,31 August 2003,3.14583,101.71111,https://en.wikipedia.org/wiki/Bukit_Bintang_monorail_station,wikipedia
Bukit Bintang (MRT),KG18A,9   Kajang Line,Rapid Rail,MRT,Kuala Lumpur,17 July 2017,3.1465028,101.7109472,https://en.wikipedia.org/wiki/Bukit_Bintang_MRT_station,wikipedia
Bukit Dukung,KG31,9   Kajang Line,Rapid Rail,MRT,Kajang,17 July 2017,3.20639,101.58028,https://en.wikipedia.org/wiki/Bukit_Dukung_MRT_station,wikipedia
Bukit Jalil,SP17,4   Sri Petaling Line,Rapid Rail,LRT,Kuala Lumpur,11 July 1998,3.05806,101.69194,https://en.wikipedia.org/wiki/Bukit_Jalil_LRT_station,wikipedia
Bukit Nanas,MR8,8   KL Monorail,Rapid Rail,Monorail,Kuala Lumpur,31 August 2003,3.15611,101.70444,https://en.wikipedia.org/wiki/Bukit_Nanas_Monorail_station,wikipedia
BU 11,SA03,11   Shah Alam Line,Rapid Rail,LRT,Petaling Jaya,29 June 2026,3.1331549,101.6058634,https://en.wikipedia.org/wiki/BU_11_LRT_station,wikipedia
Cahaya,AG17,3   Ampang Line,Rapid Rail,LRT,Ampang Jaya,16 December 1996,3.14056,101.75639,https://en.wikipedia.org/wiki/Cahaya_LRT_station,wikipedia
Cempaka,AG16,3   Ampang Line,Rapid Rail,LRT,Ampang Jaya,16 December 1996,3.13833,101.75278,https://en.wikipedia.org/wiki/Cempaka_LRT_station,wikipedia
Chan Sow Lin,AG11     SP11     PY24,3   Ampang Line 4   Sri Petaling Line 12   Putrajaya Line,Rapid Rail,LRT   MRT,Kuala Lumpur,16 December 1996 (LRT) 16 March 2023 (MRT),3.12778,101.71528,https://en.wikipedia.org/wiki/Chan_Sow_Lin_LRT_station,wikipedia
Cheras,SP12,4   Sri Petaling Line,Rapid Rail,LRT,Kuala Lumpur,11 July 1998,3.1125,101.71417,https://en.wikipedia.org/wiki/Cheras_LRT_station,wikipedia
Chow Kit,MR10,8   KL Monorail,Rapid Rail,Monorail,Kuala Lumpur,31 August 2003,3.16722,101.69806,https://en.wikipedia.org/wiki/Chow_Kit_station,wikipedia
Cochrane,KG21,9   Kajang Line,Rapid Rail,MRT,Kuala Lumpur,17 July 2017,3.20639,101.58028,https://en.wikipedia.org/wiki/Cochrane_MRT_station,wikipedia
Conlay,PY22,12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,16 March 2023,3.151444,101.717694,https://en.wikipedia.org/wiki/Conlay_MRT_station,wikipedia
Cyberjaya City Centre,PY40,12   Putrajaya Line,Rapid Rail,MRT,Sepang,16 March 2023,2.938444,101.665861,https://en.wikipedia.org/wiki/Cyberjaya_City_Centre_MRT_station,wikipedia
Cyberjaya Utara,PY39,12   Putrajaya Line,Rapid Rail,MRT,Sepang,16 March 2023,2.950083,101.65725,https://en.wikipedia.org/wiki/Cyberjaya_Utara_MRT_station,wikipedia
Damai,KJ8,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,1 June 1999,3.16444,101.72417,https://en.wikipedia.org/wiki/Damai_LRT_station_(Malaysia),wikipedia
Damansara Damai,PY05,12   Putrajaya Line,Rapid Rail,MRT,Petaling Jaya,16 June 2022,3.199889,101.592583,https://en.wikipedia.org/wiki/Damansara_Damai_MRT_station,wikipedia
Damansara Idaman,SA05,11   Shah Alam Line,Rapid Rail,LRT,Petaling Jaya,29 June 2026,3.12278,101.59417,https://en.wikipedia.org/wiki/Damansara_Idaman_LRT_station,wikipedia
Dang Wangi,KJ12,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,1 June 1999,3.15667,101.70167,https://en.wikipedia.org/wiki/Dang_Wangi_LRT_station,wikipedia
Dato' Keramat,KJ7,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,1 June 1999,3.165,101.73167,https://en.wikipedia.org/wiki/Dato'_Keramat_LRT_station,wikipedia
Dato' Menteri,SA12,11   Shah Alam Line,Rapid Rail,LRT,Shah Alam,29 June 2026,3.0699,101.52127,https://en.wikipedia.org/wiki/Dato'_Menteri_LRT_station,wikipedia
Glenmarie,KJ27     SA07,5   Kelana Jaya Line 11   Shah Alam Line,Rapid Rail,LRT,Petaling Jaya,30 June 2016  (Kelana Jaya Line) 29 June 2026 (Shah Alam Line),3.0958,101.5905,https://en.wikipedia.org/wiki/Glenmarie_LRT_station,wikipedia
Gombak,KJ1,5   Kelana Jaya Line,Rapid Rail,LRT,Selayang,1 June 1999,3.231222,101.724417,https://en.wikipedia.org/wiki/Gombak_LRT_station,wikipedia
Hang Tuah,AG9     SP9     MR4,3   Ampang Line 4   Sri Petaling Line 8   KL Monorail,Rapid Rail,LRT Monorail,Kuala Lumpur,16 December 1996  (LRT) 31 August 2003  (Monorail),3.14,101.70583,https://en.wikipedia.org/wiki/Hang_Tuah_station,wikipedia
Hospital Kuala Lumpur,PY18,12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,16 March 2023,3.1742139,101.7016528,https://en.wikipedia.org/wiki/Hospital_Kuala_Lumpur_MRT_station,wikipedia
Imbi,MR5,8   KL Monorail,Rapid Rail,Monorail,Kuala Lumpur,31 August 2003,3.14278,101.70917,https://en.wikipedia.org/wiki/Imbi_Monorail_station,wikipedia
IOI Puchong Jaya,SP24,4   Sri Petaling Line,Rapid Rail,LRT,Subang Jaya,31 March 2016,3.048083,101.620889,https://en.wikipedia.org/wiki/IOI_Puchong_Jaya_LRT_station,wikipedia
Jalan Ipoh,PY15,12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,16 March 2023,3.189306,101.681167,https://en.wikipedia.org/wiki/Jalan_Ipoh_MRT_station,wikipedia
Jalan Kastam,KD18,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Klang,1995,3.01278,101.4025,https://en.wikipedia.org/wiki/Jalan_Kastam_Komuter_station,wikipedia
Jalan Meru,SA19,11   Shah Alam Line,Rapid Rail,LRT,Klang,29 June 2026,3.0590562,101.4520586,https://en.wikipedia.org/wiki/Jalan_Meru_LRT_station,osm
Jalan Templer,KD05,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Petaling Jaya,14 August 1995,3.0835612,101.6567395,https://en.wikipedia.org/wiki/Jalan_Templer_Komuter_station,osm
Jambatan Kota,SA20,11   Shah Alam Line,Rapid Rail,LRT,Klang,29 June 2026,3.047536,101.4476223,https://en.wikipedia.org/wiki/Jambatan_Kota_LRT_station,osm
Jelatek,KJ6,5   Kelana Jaya Line,Rapid Rail,LRT,Ampang Jaya,1 June 1999,3.1673,101.7353,https://en.wikipedia.org/wiki/Jelatek_LRT_station,wikipedia
Jinjang,PY11,12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,16 June 2022,3.20955195,101.65606396,https://en.wikipedia.org/wiki/Jinjang_MRT_station,wikipedia
Johan Setia,SA26,11   Shah Alam Line,Rapid Rail,LRT,Klang,29 June 2026,2.9763,101.4594,https://en.wikipedia.org/wiki/Johan_Setia_LRT_station,wikipedia
Kajang,KB06     KG35,1   Batu Caves–Pulau Sebang Line 9   Kajang Line,KTM Rapid Rail,Commuter rail MRT,Kajang,10 November 1995  (KTM Komuter) 17 July 2017  (MRT),2.98278,101.79028,https://en.wikipedia.org/wiki/Kajang_railway_station,wikipedia
Kajang 2,KB07,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Kajang,13 March 2023,2.96264,101.79207,https://en.wikipedia.org/wiki/Kajang_2_railway_station,wikipedia
Kampung Baru,KJ11,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,1 June 1999,3.16111,101.70639,https://en.wikipedia.org/wiki/Kampung_Baru_LRT_station,wikipedia
Kampung Batu,KC03         PY13,1   Batu Caves–Pulau Sebang Line 12   Putrajaya Line,KTM Rapid Rail,Commuter rail MRT,Kuala Lumpur,April 2010  (KTM Komuter) 16 June 2022  (MRT),3.20472,101.67556,https://en.wikipedia.org/wiki/Kampung_Batu_station,wikipedia
Kampung Dato Harun,KD06,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Petaling Jaya,14 August 1995,3.08444,101.63222,https://en.wikipedia.org/wiki/Kampung_Dato_Harun_Komuter_station,wikipedia
Kampung Raja Uda,KD17,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Klang,1995,3.02028,101.41028,https://en.wikipedia.org/wiki/Kampung_Raja_Uda_Komuter_station,wikipedia
Kampung Selamat,PY03,12   Putrajaya Line,Rapid Rail,MRT,Petaling Jaya,16 December 2016,3.1973694,101.578425,https://en.wikipedia.org/wiki/Kampung_Selamat_MRT_station,wikipedia
